Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.06     31.10     0.02                             rebound_collision (d2q9-bgk.c:320 @ 4016a3)
  0.05     31.12     0.02                             rebound_collision (d2q9-bgk.c:315 @ 401673)
  0.03     31.13     0.01                             av_velocity (d2q9-bgk.c:460 @ 401997)
  0.03     31.14     0.01                             rebound_collision (d2q9-bgk.c:331 @ 401335)
  0.03     31.15     0.01                             rebound_collision (d2q9-bgk.c:339 @ 40135a)
  0.03     31.16     0.01                             rebound_collision (d2q9-bgk.c:331 @ 401381)
  0.03     31.17     0.01                             rebound_collision (d2q9-bgk.c:331 @ 40138a)
  0.03     31.18     0.01                             rebound_collision (d2q9-bgk.c:390 @ 401605)
  0.03     31.19     0.01                             rebound_collision (d2q9-bgk.c:317 @ 401685)
  0.03     31.20     0.01                             rebound_collision (d2q9-bgk.c:318 @ 40168f)
  0.03     31.21     0.01                             rebound_collision (d2q9-bgk.c:322 @ 4016b7)
  0.02     31.21     0.01                             rebound_collision (d2q9-bgk.c:347 @ 40133b)
  0.02     31.22     0.01                             rebound_collision (d2q9-bgk.c:348 @ 40137c)
  0.00     31.22     0.00        1     0.00     0.00  av_velocity (d2q9-bgk.c:412 @ 401840)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 31.22 seconds

index % time    self  children    called     name
                0.00    0.00       1/1           calc_reynolds (d2q9-bgk.c:643 @ 401ad0) [256]
[158]    0.0    0.00    0.00       1         av_velocity (d2q9-bgk.c:412 @ 401840) [158]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

